0;10;1.125;1.25
1;10;1.125;1.25
2;10;1.125;1.25
3;10;1.125;1.25
4;10;1.125;1.25
5;10;1.125;1.25
6;10;1.125;1.25
7;10;1.125;1.25
8;9;1.125;1.25
9;9;1.125;1.25
10;9;1.125;1.25
11;9;1.125;1.25
12;9;1.125;1.25
13;9;1.125;1.25
14;9;1.125;1.25
15;9;1.125;1.25
16;8;1.125;1.25
17;8;1.125;1.25
18;8;1.125;1.25
19;8;1.125;1.25
20;8;1.125;1.25
21;8;1.125;1.25
22;8;1.125;1.25
23;8;1.125;1.25
24;8;1.125;1.25
25;8;1.125;1.25
26;8;1.125;1.25
27;8;1.125;1.25
28;8;1.125;1.25
29;8;1.125;1.25
30;8;1.125;1.25
31;8;1.125;1.25
32;8;1.125;1.25
33;7;1.125;1.25
34;7;1.125;1.25
35;7;1.125;1.25
36;7;1.125;1.25
37;7;1.125;1.25
38;7;1.125;1.25
39;7;1.125;1.25
40;7;1.125;1.25
41;7;1.125;1.25
42;7;1.125;1.25
43;7;1.125;1.25
44;7;1.125;1.25
45;7;1.125;1.25
46;7;1.125;1.25
47;7;1.125;1.25
48;7;1.125;1.25
49;7;1.125;1.25
50;7;1.125;1.25
51;7;1.125;1.25
52;7;1.125;1.25
53;7;1.125;1.25
54;7;1.125;1.25
55;7;1.125;1.25
56;7;1.125;1.25
57;7;1.125;1.25
58;7;1.125;1.25
59;7;1.125;1.25
60;7;1.125;1.25
61;7;1.125;1.25
62;7;1.125;1.25
63;7;1.125;1.25
64;7;1.125;1.25
65;7;1.125;1.25
66;7;1.125;1.25
67;7;1.125;1.25
68;7;1.125;1.25
69;7;1.125;1.25
70;7;1.125;1.25
71;7;1.125;1.25
72;7;1.125;1.25
73;7;1.125;1.25
74;7;1.125;1.25
75;7;1.125;1.25
76;7;1.125;1.25
77;7;1.125;1.25
78;7;1.125;1.25
79;7;1.125;1.25
80;7;1.125;1.25
81;7;1.125;1.25
82;7;1.125;1.25
83;7;1.125;1.25
84;7;1.125;1.25
85;7;1.125;1.25
86;7;1.125;1.25
87;7;1.125;1.25
88;7;1.125;1.25
89;7;1.125;1.25
90;7;1.125;1.25
91;7;1.125;1.25
92;7;1.125;1.25
93;7;1.125;1.25
94;7;1.125;1.25
95;7;1.125;1.25
96;7;1.125;1.25
97;7;1.125;1.25
98;7;1.125;1.25
99;7;1.125;1.25
