0,0,-0,1,1,0,
0,0.1,-0.105809025,1.00808175,1.11389,0.0113908,
0.1,0.2,-0.0994099092,0.9157616613,1.01517,0.0229096,
0.2,0.3,-0.0932934519,0.8319062512,0.9252,0.0321532,
0.3,0.4,-0.0874617774,0.7557384925,0.8432,0.0394486,
0.4,0.5,-0.0819142262,0.6865527708,0.768467,0.0450817,
0.5,0.6,-0.0766478498,0.6237083135,0.700356,0.0493014,
0.6,0.7,-0.0716578375,0.5666232239,0.638281,0.0523245,
0.7,0.8,-0.0669378841,0.5147690656,0.581707,0.0543395,
0.8,0.9,-0.0624805062,0.4676659446,0.530146,0.0555098,
0.9,1,-0.0582773121,0.4248780454,0.483155,0.055977,
