0,0.01,3.0975951293,3.4279841707,3.694204132,4.0008704745,-0.0008023901,0.1663624901,-0.000883193,0.1562240103,-0.0150214688,0.1585756688,0.330389,0.306666,0.167165,0.157107,0.173597,0.00480974,0.00174095,0.00160478,0.00176639,0.0300429,
0.01,0.02,3.3918657143,3.6876352449,3.3657247919,3.6999735566,0.1608340386,0.3303891677,0.1507697049,0.3547937778,0.0793079502,0.3203915549,0.29577,0.334249,0.169555,0.204024,0.241084,0.0164529,0.00738125,0.00670075,0.00750696,0.0910302,
0.02,0.03,3.6303852873,3.8972956368,3.0184805517,3.3813326106,0.3144055803,0.4894016987,0.3392490245,0.5932265652,0.1481183669,0.4872587651,0.26691,0.362852,0.174996,0.253978,0.33914,0.0379573,0.0199169,0.017792,0.0202982,0.184267,
0.03,0.04,3.8071011588,4.0561081736,2.6571123575,3.0532159858,0.4550748129,0.6417930541,0.5580747298,0.8683517838,0.1887812134,0.6585028907,0.249007,0.396104,0.186718,0.310277,0.469722,0.0733268,0.0430789,0.0378618,0.0439831,0.311433,
0.04,0.05,3.9163962614,4.1650360769,2.2857918188,2.7245986478,0.5778924993,0.7865723625,0.799608026,1.1770335744,0.1986514597,0.8339800587,0.24864,0.438807,0.20868,0.377426,0.635329,0.127883,0.0816289,0.0705531,0.0834729,0.474725,
0.05,0.06,3.9529476376,4.2270566661,1.9058507887,2.4051734711,0.6777627645,0.9235049787,1.0550181683,1.516428699,0.1750255666,1.0141632451,0.274109,0.499323,0.245742,0.461411,0.839138,0.20862,0.141635,0.120347,0.145027,0.676979,
0.06,0.07,3.8681486135,4.2552248004,1.520877404,2.1052838215,0.7494542964,1.0531931899,1.3143387017,1.884168531,0.1151328193,1.2001838664,0.387076,0.584406,0.303739,0.56983,1.08505,0.324346,0.230589,0.192639,0.236368,0.921733,
0.07,0.08,3.6853215016,4.2990556684,1.1332120868,1.8361358688,0.7874521163,1.177301493,1.5662461497,2.2788273742,0.0160039206,1.3939843364,0.613734,0.702924,0.389849,0.712581,1.37798,0.486361,0.358072,0.294112,0.367368,1.21351,
0.08,0.09,3.4163092114,4.3163595748,0.7423366787,1.6099160989,0.7858046029,1.2987705436,1.7979471124,2.7002863086,-0.1256560518,1.5984542813,0.90005,0.867579,0.512966,0.902339,1.72411,0.709287,0.53622,0.433114,0.550516,1.55809,
0.09,0.1,3.0556355544,4.3190580177,0.3456730718,1.4399180406,0.7380626846,1.4219219761,1.9950614456,3.1528559527,-0.3152583934,1.8174986797,1.26342,1.09424,0.683859,1.15779,2.13276,1.01123,0.780197,0.619826,0.801397,1.96264,
0.1,0.11,2.5963063554,4.3224944079,-0.0618240218,1.3407598694,0.6358011463,1.5527487526,2.1414247369,3.6376950331,-0.569271971,2.0562277146,1.72619,1.40258,0.916948,1.49627,2.6255,1.41508,1.10882,0.86682,1.13933,2.43613,
