0,0.01,3.3987219724,3.6797678224,3.3691281021,3.6969117477,0.1636041768,0.3274076313,0.1538921688,0.3513262304,0.1172346344,0.2750409039,0.281046,0.327784,0.163803,0.197434,0.157806,0.00458889,0.00147524,0.00136838,0.00148127,0.0299399,
0.01,0.02,3.6471371673,3.8793168992,3.0275369835,3.3728912428,0.3219248502,0.4814367881,0.3478347727,0.5840167157,0.2325241047,0.3953284098,0.23218,0.345354,0.159512,0.236182,0.162804,0.00853121,0.00394631,0.00361427,0.00404834,0.0451634,
0.02,0.03,3.8401103378,4.0215991212,2.6767198992,3.0345409012,0.4714111765,0.6247497295,0.5770512539,0.8484258957,0.3366742189,0.5029627787,0.181489,0.357821,0.153339,0.271375,0.166289,0.0141026,0.00788493,0.00719757,0.00821471,0.0605236,
0.03,0.04,3.9746916453,4.1049011231,2.3233525038,2.6883406393,0.6089753159,0.7544891645,0.8364786826,1.1388329274,0.4281733462,0.5966629962,0.130209,0.364988,0.145514,0.302354,0.16849,0.0214141,0.0131508,0.0120975,0.0138327,0.0759949,
0.04,0.05,4.0491168473,4.1286303107,1.9717680785,2.3407751926,0.7318246935,0.868111191,1.1205676543,1.4491024967,0.5057809799,0.6754345671,0.0795135,0.369007,0.136286,0.328535,0.169654,0.0304861,0.0195022,0.0182589,0.0207099,0.0915449,
0.05,0.06,4.0223488002,4.1040703441,1.6299222477,1.9982294674,0.8374441007,0.9634949323,1.4234599234,1.7727451103,0.5685198116,0.7386102389,0.0817215,0.368307,0.126051,0.349285,0.17009,0.0412484,0.0266407,0.0257265,0.0284866,0.107189,
0.06,0.07,3.918114036,4.069982918,1.3050404923,1.6668526397,0.9237714059,1.0388436697,1.7391227446,2.1030294014,0.6157365051,0.7858102254,0.151869,0.361812,0.115072,0.363907,0.170074,0.0535546,0.034186,0.0343778,0.0366103,0.122895,
0.07,0.08,3.7583104404,3.9788886318,1.0028845688,1.3525673088,0.9891899718,1.0927531591,2.0614021375,2.433179383,0.647126863,0.8169260342,0.220578,0.349683,0.103563,0.371777,0.169799,0.0671679,0.04193,0.0440068,0.0444792,0.13855,
0.08,0.09,3.5467890586,3.833406216,0.7286854564,1.0608768467,1.0324985961,1.1242854184,2.3835400298,2.7602950507,0.6626757054,0.8321776034,0.286617,0.332191,0.0917868,0.376755,0.169502,0.0818572,0.0496708,0.0544366,0.0526589,0.15408,
0.09,0.1,3.2882414322,3.6372224096,0.4874620645,0.7963576048,1.0528130009,1.1330934086,2.6994414066,3.0746550565,0.6551016969,0.8320909048,0.348981,0.308896,0.0802804,0.375214,0.176989,0.0975311,0.0563975,0.0657514,0.0605962,0.169423,
